"business_id","name","address","city","state","postal_code","phone_number"
"29790","ANGIO'S","3731 BARDSTOWN RD","LOUISVILLE","KY","40218","(502) 451-5454"
"31334","GOOD SAMARITAN","3500 GOOD SAMARITAN WAY","LOUISVILLE","KY","40299","(502) 267-7403"
"32112","CHEDDAR BOX","3909 CHENOWETH SQUARE","LOUISVILLE","KY","40207","(502) 897-2334"
"32114","CORNER CAFE & PIZZERIA","9307 NEW LAGRANGE RD","LOUISVILLE","KY","40242","(502) 426-8119"
"32140","ARBY'S #5412","6216 BARDSTOWN RD","LOUISVILLE","KY","40291","(502) 239-3203"
"32358","ARBY'S #5430","10704 DIXIE HWY","LOUISVILLE","KY","40272","(502) 935-1329"
"32531","BOYS & GIRLS HAVEN #1","2301 GOLDSMITH LN","LOUISVILLE","KY","40218","(502) 458-1471"
"32534","KRAZY DAVES NEIGHBORHOOD PUB & GRILL","2817 DEL RIO PL","LOUISVILLE","KY","40220","(502) 403-6101"
"32535","DES PRES PARK CONCESSION","4709 LOWE RD","LOUISVILLE","KY","40222","(502) 643-6040"
"32553","CAPTAIN D'S #3329","3937 DIXIE HWY","LOUISVILLE","KY","40217","(502) 447-4582"
"32564","JERRY'S RESTAURANT #1018","4832 DIXIE HWY","LOUISVILLE","KY","40216","(502) 447-4610"
"32571","LOGAN'S ROADHOUSE","5229 DIXIE HWY","LOUISVILLE","KY","40216","(502) 448-0577"
"32578","WHITE CASTLE #19","7400 DIXIE HWY","LOUISVILLE","KY","40258","(502) 935-0421"
"32579","BONNIE & CLYDE'S PIZZA","7611 DIXIE HWY","LOUISVILLE","KY","40258","(502) 935-5540"
"32593","MCDONALD'S #1","8600 DIXIE HWY","LOUISVILLE","KY","40258","(502) 935-2762"
"32604","MOBY DICK","9150 DIXIE HWY","LOUISVILLE","KY","40272","(502) 935-6565"
"32608","DOMINO'S PIZZA #1431","10011 DIXIE HWY","LOUISVILLE","KY","40272","(502) 935-3030"
"32609","CAPTAIN D'S #3532","10101 DIXIE HWY","LOUISVILLE","KY","40272","(502) 935-7350"
"32611","KFC","10103 DIXIE HWY","LOUISVILLE","KY","40272","(502) 937-0574"
"32613","DIXIE BOWL","10526 DIXIE HWY","LOUISVILLE","KY","40272","(502) 937-7900"
"32659","BIG SPRING MAIN KITCHEN","5901 DUTCHMANS LN","LOUISVILLE","KY","40205","(502) 459-2622"
"32660","JEWISH COMMUNITY CENTER KITCHEN","3600 DUTCHMANS LN","LOUISVILLE","KY","40205","(502) 458-3281"
"32724","MOOSE LODGE #5","4615 FEGENBUSH LN","LOUISVILLE","KY","40228","(502) 499-8875"
"32727","RUTH'S CHRIS STEAK HOUSE","6100 DUTCHMANS LN","LOUISVILLE","KY","40205","(502) 479-0026"
"32733","WHITE CASTLE #10","793 EASTERN PKWY","LOUISVILLE","KY","40217","(502) 634-3322"
"32765","WOMAN'S CLUB OF LOUISVILLE","1320 S 4TH ST","LOUISVILLE","KY","40208","(502) 634-9437"
"32802","KFC TACO BELL Y052-016","5012 S 3RD ST","LOUISVILLE","KY","40214","(502) 366-2673"
"32804","ARBY'S #194","5022 S 3RD ST","LOUISVILLE","KY","40214","(502) 366-8435"
"32815","HITCHING POST INN","7314 FEGENBUSH LN","LOUISVILLE","KY","40228","(502) 239-4724"
"32818","FORD MOTOR CO CAFETERIA","2000 FERN VALLEY RD","LOUISVILLE","KY","40232","(502) 366-9511"
"32827","LONG RUN GOLF CLUB","1605 FLAT ROCK RD","LOUISVILLE","KY","40223","(502) 245-9015"
"32829","JOHN O'BRYAN'S","4123 FLINTLOCK DR","LOUISVILLE","KY","40216","(502) 449-4940"
"32841","PATRICK'S LIQUOR BAR","3202 FRANKFORT AVE","LOUISVILLE","KY","40206","(502) 897-9697"
"32852","PIZZA HUT #013414","2508 PRESTON HWY","LOUISVILLE","KY","40217","(502) 634-8322"
"32866","KFC EMPLOYEES CAFETERIA","1441 GARDINER LN","LOUISVILLE","KY","40213","(502) 459-8600"
"32870","ICE ARENA CONCESSIONS","1825 GARDINER LN","LOUISVILLE","KY","40205","(502) 459-9500"
"32874","BROWN FORMAN EMPLOYEE CAFE","1809 GARLAND AVE","LOUISVILLE","KY","40210","(502) 585-1100"
"32877","ALA CART CAFE","3101 BARDSTOWN RD","LOUISVILLE","KY","40205","(502) 458-6504"
"32879","MARYHURST SCHOOL","1015 DORSEY LN","LOUISVILLE","KY","40223","(502) 245-1576"
"32905","EXECUTIVE STRIKE & SPARE","911 PHILLIPS LN","LOUISVILLE","KY","40209","(502) 367-2251"
"32910","BLUE HORSE","830 PHILLIPS LN","LOUISVILLE","KY","40209","(502) 367-2251"
"33054","PENDENNIS CLUB","218 W MUHAMMAD ALI BLVD","LOUISVILLE","KY","40202","(502) 584-4311"
"33055","STOOGES","7123 GRADE LN","LOUISVILLE","KY","40213","(502) 363-9803"
"33062","GREENWOOD BINGO","4529 GREENWOOD RD","LOUISVILLE","KY","40258","(502) 933-1295"
"33070","CAPTAIN'S QUARTERS","5700 CAPTAINS QUARTERS RD","HARRODS CREEK","KY","40027","(502) 228-1651"
"33088","GOLDEN NUGGET BAR","2922 HIKES LN","LOUISVILLE","KY","40218","(502) 454-9914"
"33092","RETIRED SERVICEMEN'S CLUB","1700 W HILL ST","LOUISVILLE","KY","40210","(502) 778-2505"
"33099","ARBY'S #714","1203 S HURSTBOURNE PKWY","LOUISVILLE","KY","40217","(502) 425-6660"
"33113","IROQUOIS PARK GOLF SNACK BAR","1501 RUNDILL RD","LOUISVILLE","KY","40214","(502) 363-9530"
"33114","MCDONALD'S","9254 WESTPORT RD","LOUISVILLE","KY","40222","(502) 426-2692"
"33115","HAMPTON INN","101 E JEFFERSON ST","LOUISVILLE","KY","40202","(502) 585-2200"
"33116","DOMINO'S PIZZA #1425","9409 WESTPORT RD","LOUISVILLE","KY","40222","(502) 425-5176"
"33122","EL NOPAL","9451 WESTPORT RD","LOUISVILLE","KY","40241","(502) 327-6551"
"33158","FISH HOUSE","1310 WINTER AVE","LOUISVILLE","KY","40204","(502) 568-2993"
"33164","WOODHAVEN COUNTRY CLUB","7200 WOODHAVEN RD","LOUISVILLE","KY","40291","(502) 491-7112"
"33201","ZA'S PIZZA & PUB","1573 BARDSTOWN RD","LOUISVILLE","KY","40205","(502) 454-4544"
"33228","OHIO VALLEY RACEWAY","632 KATHERINE STATION RD","LOUISVILLE","KY","40177","(502) 922-4152"
"33239","DOMINO'S PIZZA #1429","11517 SHELBYVILLE RD","LOUISVILLE","KY","40223","(502) 245-1511"
"33244","ELKS LOUISVILLE LODGE #8","2824 KLONDIKE LN","LOUISVILLE","KY","40218","(502) 499-8335"
"33245","CHINA INN","1925 S 4TH ST","LOUISVILLE","KY","40202","(502) 636-2020"
"33256","PAVILION CAFE","315 E BROADWAY","LOUISVILLE","KY","40202","(502) 629-2000"
"33257","ALL SPICE CAFE","200 E CHESTNUT ST","LOUISVILLE","KY","40202","(502) 589-8161"
"33262","NORTON ST MATTHEWS HOSPITAL","4001 DUTCHMANS LN","LOUISVILLE","KY","40207","(502) 893-1131"
"33264","BAKERY","3100 BARDSTOWN RD","LOUISVILLE","KY","40205","(502) 451-0815"
"33267","VFW POST 5421 MILLCREEK","7111 LOWER HUNTERS TRACE","LOUISVILLE","KY","40258","(502) 447-9017"
"33276","FAZOLI'S","6011 PRESTON HWY","LOUISVILLE","KY","40213","(502) 969-4532"
"33287","LEVY CD JOCKEY CLUB DELI","700 CENTRAL AVE","LOUISVILLE","KY","40208","(502) 636-3351"
"33291","FOOD COURT","700 CENTRAL AVE","LOUISVILLE","KY","40208","(502) 638-3925"
"33292","PADDOCK GRILL","700 CENTRAL AVE","LOUISVILLE","KY","40208","(502) 638-3925"
"33295","LEVY CD MAIN KITCHEN","700 CENTRAL AVE","LOUISVILLE","KY","40208","(502) 638-3925"
"33297","LING LING","10476 SHELBYVILLE RD","LOUISVILLE","KY","40223","(502) 245-2100"
"33317","LYNDON ELKS LODGE #2056","904 ORMSBY LN","LOUISVILLE","KY","40242","(502) 426-2069"
"33371","VFW POST MIDDLETOWN","107 EVERGREEN RD","LOUISVILLE","KY","40243","(502) 245-8773"
"33374","AMVETS POST 1","1111 SWAN ST","LOUISVILLE","KY","40204","(502) 637-9492"
"33398","AMERICAN LEGION DIXIE POST #1","2107 CRUMS LN","LOUISVILLE","KY","40216","(502) 448-8082"
"33399","WICKS PIZZA","975 BAXTER AVE","LOUISVILLE","KY","40204","(502) 458-1828"
"33403","BLUE LICK OPTIMIST","4611 MUD LN","LOUISVILLE","KY","40229","(502) 969-3901"
"33411","KFC Y052-032","6908 DIXIE HWY","LOUISVILLE","KY","40258","(502) 933-3255"
"33412","SUN VALLEY GOLF COURSE","6505 BETHANY LN","LOUISVILLE","KY","40272","(502) 937-9228"
"33419","HUNTING CREEK POOL CONCESSION","6807 FOXCRAFT RD","PROSPECT","KY","40059","(502) 228-1106"
"33438","LILLY'S RESTAURANT","1147 BARDSTOWN RD","LOUISVILLE","KY","40204","(502) 451-0377"
"33441","LEE'S FAMOUS RECIPE","9813 OLD 3RD STREET RD","LOUISVILLE","KY","40272","(502) 933-3538"
"33443","SUBWAY","725 W MAIN ST","LOUISVILLE","KY","40202","(502) 625-3002"
"33501","TWINBROOK HOTEL APARTMENT","3525 EPHRAIM MCDOWELL RD","LOUISVILLE","KY","40205","(502) 452-6330"
"33513","LITTLE CAESARS","6714 OUTER LOOP","LOUISVILLE","KY","40228","(502) 966-3111"
"33519","DAIRY DELIGHT","8691 PRESTON HWY","LOUISVILLE","KY","40219","(502) 964-1345"
"33545","PIZZA HUT #013420","5366 NEW CUT RD","LOUISVILLE","KY","40214","(502) 363-2608"
"33595","FRISCH'S BIG BOY #201","7401 DIXIE HWY","LOUISVILLE","KY","40258","(502) 995-5800"
"33602","MCDONALD'S #6859","7426 OLD 3RD STREET RD","LOUISVILLE","KY","40214","(502) 367-1455"
"33605","LOS AZTECAS","1107 HERR LN","LOUISVILLE","KY","40222","(502) 426-3994"
"33644","CHICKEN KING","639 E BROADWAY","LOUISVILLE","KY","40202","(502) 589-5464"
"33646","DOMINO'S PIZZA #1432","6803 SOUTHSIDE DR","LOUISVILLE","KY","40214","(502) 366-0331"
"33648","PANDA CHINA INC","9543 US HWY 42","PROSPECT","KY","40059","(502) 228-6400"
"33649","FISHERY","3624 LEXINGTON RD","LOUISVILLE","KY","40207","(502) 895-1188"
"33655","WAGON WHEEL FAST FOODS","1633 W KENTUCKY ST","LOUISVILLE","KY","40210","(502) 583-0962"
"33659","HOMEMADE ICE CREAM & PIE KITCHEN","2525 BARDSTOWN RD","LOUISVILLE","KY","40205","(502) 459-8184"
"33694","MORE SHENANIGAN'S IRISH","4521 BARDSTOWN RD","LOUISVILLE","KY","40218","(502) 493-3585"
"33726","DOMINO'S PIZZA #1436","5219 DIXIE HWY","LOUISVILLE","KY","40216","(502) 449-3000"
"33742","DOMINO'S PIZZA #1435","7924 FEGENBUSH LN","LOUISVILLE","KY","40228","(502) 239-0300"
"33761","WRIGHT PLACE","501 N 33RD ST","LOUISVILLE","KY","40212","(502) 778-8487"
"33783","FRAZIER'S BALL PARK CONC.","2213 BRADFORD DR","LOUISVILLE","KY","40218","(502) 425-7290"
"33814","UNIVERSITY DINING HALL","2001 NEWBURG RD","LOUISVILLE","KY","40205","(502) 272-8325"
"33823","MCDONALD'S","2720 W BROADWAY","LOUISVILLE","KY","40211","(502) 778-7110"
"33826","211 CLOVER LANE","211 CLOVER LN","LOUISVILLE","KY","40207","(502) 896-9570"
"33830","MANUAL STADIUM HOME CONCESSON","1230 E BURNETT AVE","LOUISVILLE","KY","40217","(502) 634-8409"
"33854","BROWN MAIN KITCHEN","335 W BROADWAY","LOUISVILLE","KY","40202","(502) 583-1234"
"33863","BACK DOOR","1250 BARDSTOWN RD","LOUISVILLE","KY","40204","(502) 451-0659"
"33906","VINCENZO'S","150 S 5TH ST","LOUISVILLE","KY","40201","(502) 580-1350"
"33913","GREAT WOK","2502 S PRESTON ST","LOUISVILLE","KY","40217","(502) 634-1918"
"33920","BROWN J. GRAHAM CAFE","335 W BROADWAY","LOUISVILLE","KY","40202","(502) 583-1234"
"33927","KINDRED HOSPITAL","1313 ST. ANTHONY PL","LOUISVILLE","KY","40204","(502) 627-1740"
"33938","GALT EAST BANQUET KITCHEN","140 N 4TH ST","LOUISVILLE","KY","40203","(502) 589-3300"
"33966","OLD SPAGHETTI FACTORY","235 W MARKET ST","LOUISVILLE","KY","40202","(502) 581-1070"
"34003","HEALING PLACE","1020 W MARKET ST","LOUISVILLE","KY","40202","(502) 584-6606"
"34009","UPTOWN CAFE","1624 BARDSTOWN RD","LOUISVILLE","KY","40205","(502) 458-4212"
"34030","FRANCISCAN SHELTER HOUSE","748 S PRESTON ST","LOUISVILLE","KY","40203","(502) 589-0140"
"34038","SAINTS PIZZA & PUB","131 BRECKENRIDGE LN","LOUISVILLE","KY","40207","(502) 891-8883"
"34041","MARY QUEEN OF PEACE BALL FIELD CONCESSION","4005 DIXIE HWY","LOUISVILLE","KY","40216","(502) 448-6832"
"34068","ST. VINCENT DEPAUL CENTER","1034 S JACKSON ST","LOUISVILLE","KY","40203","(502) 584-2480"
"34073","BRISTOL BAR & GRILLE","300 N HURSTBOURNE PKWY","LOUISVILLE","KY","40222","(502) 426-0627"
"34092","CUMBERLAND BREWS","1576 BARDSTOWN RD","LOUISVILLE","KY","40205","(502) 458-8727"
"34097","MCDONALD'S #7940","3350 PRESTON HWY","LOUISVILLE","KY","40213","(502) 368-7940"
"34135","VALLEY DAIRY FREEZE INC.","10300 DEERING RD","LOUISVILLE","KY","40272","(502) 937-3429"
"34173","SKATE WORLD PRESTON","6310 PRESTON HWY","LOUISVILLE","KY","40219","(502) 969-6000"
"34175","EL NOPAL","4214 OUTER LOOP","LOUISVILLE","KY","40219","(502) 968-2566"
"34177","POPEYE'S","7528 DIXIE HWY","LOUISVILLE","KY","40258","(502) 933-3633"
"34201","BRISTOL BAR & GRILLE","1321 BARDSTOWN RD","LOUISVILLE","KY","40204","(502) 456-1702"
"34210","TWIG AND LEAF","2122 BARDSTOWN RD","LOUISVILLE","KY","40205","(502) 451-8944"
"34211","LEFT FIELD LOUNGE INC","2282 BARDSTOWN RD","LOUISVILLE","KY","40205","(502) 690-3750"
"34213","PAPA JOHN'S #008","2301 BARDSTOWN RD","LOUISVILLE","KY","40205","(502) 458-7555"
"34216","SOL AZTECAS","2427 BARDSTOWN RD","LOUISVILLE","KY","40205","(502) 459-7776"
"34222","BUCKHEAD MOUNTAIN GRILL","3020 BARDSTOWN RD","LOUISVILLE","KY","40205","(502) 456-6680"
"34233","HOLY SMOKES BBQ","7508 PRESTON HWY","LOUISVILLE","KY","40219","(502) 968-5657"
"34239","MORRISON SENIOR DINING","10510 LAGRANGE RD","LOUISVILLE","KY","40223","(502) 253-7000"
"34259","POPEYE'S","3317 BARDSTOWN RD","LOUISVILLE","KY","40218","(502) 459-3770"
"34264","VALHALLA GOLF CLUB","15503 SHELBYVILLE RD","LOUISVILLE","KY","40018","(502) 245-4475"
"34267","BASKIN ROBBINS","10264 SHELBYVILLE RD","LOUISVILLE","KY","40222","(502) 244-6883"
"34272","WHITE CASTLE #17","3705 BARDSTOWN RD","LOUISVILLE","KY","40218","(502) 458-1055"
